firmID,nwrks,wage_av,profit_av_firm,educ_av_firm,firm_age,ind,region
"A19449",207,75.18218,19482.47,1.785714,15126,452,3
"A1945009",12,50.55227,2342,2,20636,,17
"A1945225",25,12.81316,900,1,11963,,17
"A1997069",13,116.4733,6934.02,4,15718,452,22
"A20097",37,69.84676,799.72,1.333333,8008,,3
"A2011262",9,58.21529,9.465,2,6013,501,23
"A201935",59,70.33919,42.06,1.666667,6507,,29
"A202052",157,119.7026,18.04,2.769231,6573,273,8
"A202303",25,38.49812,5940.59,2.5,6573,524,8
"A202815",80,50.23227,27372.77,1.75,2952,,28
"A202851",31,105.5075,13053.97,3,3378,517,8
"A202892",31,60.89942,274.15,2,14980,,8
"A202934",81,61.06789,24000,1.833333,193,,8
"A202961",1,103.5263,3659.235,1.75,705,514,28
"A2029721",93,28.09888,765,2.666667,21453,453,26
"A202997",65,45.08735,7108.8,1.952381,4931,804,8
"A203065",26,51.69035,614.82,2,10434,151,8
"A203184",30,39.82463,20018.21,3,6818,,36
"A203191",111,118.1549,700,2.339286,2982,241,17
"A203244",14,56.04063,707.97,2,6392,,8
"A203416",33,37.82797,343.9767,2,4108,672,8
"A2034220",14,60.16542,285,3,2769,922,26
"A203439",47,72.55699,326.08,1.5,6572,602,8
"A2040664",0,111.4173,359.9967,2.818182,7549,921,28
"A204105",309,64.35485,150,2.411765,14793,851,8
"A2042801",1,43.89281,22806.95,1.5,7290,,27
"A2044107",12,35.79758,856.95,2.5,10591,514,28
"A2045843",63,105.0469,8473.007,2.875,5965,452,45
"A204643",61,96.57314,22143.97,2,6542,451,8
"A204659",67,94.95174,532,3,6524,,8
"A204776",5,57.51928,1575,4,6564,,8
"A204811",12,78.01531,320,2,6573,,8
"A2049906",1,40.04462,830.07,2,8329,452,28
"A2051078",14,59.95266,2378.71,5,7488,652,28
"A205260",44,46.48029,5102.19,2.4,2230,551,8
"A2052875",26,129.6479,34050,5,7488,,28
"A2053138",9,39.70192,465.65,3,7365,331,28
"A205338",24,21.81001,4110.84,3,2921,803,8
"A205348",112,109.7372,577.5634,2.625,4979,221,8
"A2054388",15,40.76087,2032,1,5796,,28
"A205449",27,80.37257,1146.945,2.5,3712,,46
"A2054726",43,36.3255,43560,2,7469,281,28
"A2056160",5,49.93333,80.53,2,7224,,28
"A205757",32,63.10159,162.49,3,4458,672,8
"A2058172",13,43.23392,90451.37,1,6559,452,28
"A205870",41,45.71963,4492.823,3,6506,514,8
"A2059976",0,135.8567,150,3.5,6748,921,28
"A2059982",15,37.83675,3498.84,2,6542,452,19
"A206021",65,69.48119,14819.76,2.6,29839,171,8
"A2060538",11,57.07871,906,1.5,6664,,8
"A206838",24,73.36168,350,2.214286,12692,524,28
"A207185",59,40.64406,12.62,1.5,5225,151,8
